0.3um,co2,date,time,weather_idx
761,426,2026-01-13,3.4069444444444446,105
819,426,2026-01-13,3.4097222222222223,105
801,426,2026-01-13,3.4125,105
717,426,2026-01-13,3.415277777777778,105
911,426,2026-01-13,3.4180555555555556,105
991,426,2026-01-13,3.4208333333333334,105
921,427,2026-01-13,3.423611111111111,105
836,427,2026-01-13,3.426388888888889,105
936,427,2026-01-13,3.4291666666666667,105
885,427,2026-01-13,3.4319444444444445,105
852,427,2026-01-13,3.4347222222222227,105
785,427,2026-01-13,3.4375000000000004,105
807,427,2026-01-13,3.440277777777778,105
759,427,2026-01-13,3.443055555555556,105
781,427,2026-01-13,3.4458333333333337,105
822,427,2026-01-13,3.4486111111111115,105
846,427,2026-01-13,3.4513888888888893,105
942,427,2026-01-13,3.454166666666667,105
903,427,2026-01-13,3.456944444444445,105
761,427,2026-01-13,3.4597222222222226,105
840,427,2026-01-13,3.4625000000000004,105
868,427,2026-01-13,3.465277777777778,105
813,427,2026-01-13,3.468055555555556,105
808,427,2026-01-13,3.4708333333333337,105
771,427,2026-01-13,3.4736111111111114,105
832,426,2026-01-13,3.476388888888889,105
855,426,2026-01-13,3.479166666666667,105
717,426,2026-01-13,3.4819444444444447,105
728,426,2026-01-13,3.4847222222222225,105
903,426,2026-01-13,3.4875000000000003,105
858,426,2026-01-13,3.490277777777778,105
798,426,2026-01-13,3.493055555555556,105
702,426,2026-01-13,3.4958333333333336,105
720,426,2026-01-13,3.4986111111111113,105
801,426,2026-01-13,3.501388888888889,105
765,426,2026-01-13,3.504166666666667,105
864,426,2026-01-13,3.5069444444444446,105
856,426,2026-01-13,3.5097222222222224,105
699,425,2026-01-13,3.5125,105
726,425,2026-01-13,3.515277777777778,105
781,425,2026-01-13,3.5180555555555557,105
757,425,2026-01-13,3.5208333333333335,105
774,425,2026-01-13,3.5236111111111112,105
753,425,2026-01-13,3.526388888888889,105
736,425,2026-01-13,3.529166666666667,105
691,426,2026-01-13,3.5319444444444446,105
789,426,2026-01-13,3.5347222222222223,105
932,426,2026-01-13,3.5375,105
873,426,2026-01-13,3.540277777777778,105
744,426,2026-01-13,3.5430555555555556,105
754,425,2026-01-13,3.5458333333333334,105
714,425,2026-01-13,3.548611111111111,105
732,425,2026-01-13,3.551388888888889,105
764,425,2026-01-13,3.5541666666666667,105
798,425,2026-01-13,3.5569444444444445,105
864,425,2026-01-13,3.5597222222222222,105
852,425,2026-01-13,3.5625,105
822,425,2026-01-13,3.5652777777777778,105
821,425,2026-01-13,3.5680555555555555,105
800,425,2026-01-13,3.5708333333333333,105
807,424,2026-01-13,3.573611111111111,105
758,425,2026-01-13,3.576388888888889,105
808,425,2026-01-13,3.5791666666666666,105
841,425,2026-01-13,3.5819444444444444,105
781,425,2026-01-13,3.5847222222222226,105
768,424,2026-01-13,3.5875000000000004,105
789,424,2026-01-13,3.590277777777778,105
744,424,2026-01-13,3.593055555555556,105
775,424,2026-01-13,3.5958333333333337,105
857,424,2026-01-13,3.5986111111111114,105
807,424,2026-01-13,3.601388888888889,105
831,424,2026-01-13,3.604166666666667,105
957,424,2026-01-13,3.6069444444444447,105
902,424,2026-01-13,3.6097222222222225,105
804,424,2026-01-13,3.6125000000000003,105
891,424,2026-01-13,3.615277777777778,105
915,424,2026-01-13,3.618055555555556,105
711,424,2026-01-13,3.6208333333333336,105
701,424,2026-01-13,3.6236111111111113,105
